"logo_colour","logo_hex","background","background_hex","decision"
"Black","#1A1A1A","White","#FFFFFF","yes"
"Black","#1A1A1A","Cream","#F2EBDA","yes"
"Black","#1A1A1A","Gold","#E8B93B","yes"
"Black","#1A1A1A","Ink","#1A1A1A","no"
"Black","#1A1A1A","Blue","#1E4C9A","no"
"Black","#1A1A1A","Green","#2E7D4F","no"
"Black","#1A1A1A","Terracotta","#BE4A2F","no"
"Black","#1A1A1A","Grey","#54565B","no"
"White","#FFFFFF","White","#FFFFFF","no"
"White","#FFFFFF","Cream","#F2EBDA","no"
"White","#FFFFFF","Gold","#E8B93B","no"
"White","#FFFFFF","Ink","#1A1A1A","yes"
"White","#FFFFFF","Blue","#1E4C9A","yes"
"White","#FFFFFF","Green","#2E7D4F","yes"
"White","#FFFFFF","Terracotta","#BE4A2F","yes"
"White","#FFFFFF","Grey","#54565B","yes"
"Blue","#1E4C9A","White","#FFFFFF","no"
"Blue","#1E4C9A","Cream","#F2EBDA","no"
"Blue","#1E4C9A","Gold","#E8B93B","no"
"Blue","#1E4C9A","Ink","#1A1A1A","no"
"Blue","#1E4C9A","Blue","#1E4C9A","no"
"Blue","#1E4C9A","Green","#2E7D4F","no"
"Blue","#1E4C9A","Terracotta","#BE4A2F","no"
"Blue","#1E4C9A","Grey","#54565B","no"
"Green","#2E7D4F","White","#FFFFFF","no"
"Green","#2E7D4F","Cream","#F2EBDA","no"
"Green","#2E7D4F","Gold","#E8B93B","no"
"Green","#2E7D4F","Ink","#1A1A1A","no"
"Green","#2E7D4F","Blue","#1E4C9A","no"
"Green","#2E7D4F","Green","#2E7D4F","no"
"Green","#2E7D4F","Terracotta","#BE4A2F","no"
"Green","#2E7D4F","Grey","#54565B","no"
"Terracotta","#BE4A2F","White","#FFFFFF","no"
"Terracotta","#BE4A2F","Cream","#F2EBDA","no"
"Terracotta","#BE4A2F","Gold","#E8B93B","no"
"Terracotta","#BE4A2F","Ink","#1A1A1A","no"
"Terracotta","#BE4A2F","Blue","#1E4C9A","no"
"Terracotta","#BE4A2F","Green","#2E7D4F","no"
"Terracotta","#BE4A2F","Terracotta","#BE4A2F","no"
"Terracotta","#BE4A2F","Grey","#54565B","no"
"Gold","#E8B93B","White","#FFFFFF","no"
"Gold","#E8B93B","Cream","#F2EBDA","no"
"Gold","#E8B93B","Gold","#E8B93B","no"
"Gold","#E8B93B","Ink","#1A1A1A","no"
"Gold","#E8B93B","Blue","#1E4C9A","no"
"Gold","#E8B93B","Green","#2E7D4F","no"
"Gold","#E8B93B","Terracotta","#BE4A2F","no"
"Gold","#E8B93B","Grey","#54565B","no"
"Grey","#54565B","White","#FFFFFF","no"
"Grey","#54565B","Cream","#F2EBDA","no"
"Grey","#54565B","Gold","#E8B93B","no"
"Grey","#54565B","Ink","#1A1A1A","no"
"Grey","#54565B","Blue","#1E4C9A","no"
"Grey","#54565B","Green","#2E7D4F","no"
"Grey","#54565B","Terracotta","#BE4A2F","no"
"Grey","#54565B","Grey","#54565B","no"
